songs,artists,lyrics,length
Stars on 45 Medley,Stars on 45,"boogie like disco, love disco sound turn volume move around don't, don't, don't, don't, forget, oh don't, don't, don't, don't, forget star 45 keep turning mind like ""we work out"" remember ""twist shout"" still ""tell why"" ""no reply"" sugar, ah honey honey candy girl got wanting honey, ah sugar sugar candy girl got wanting 1, 2, 3, 4... happened came door reply said saw peep window know break heart i'll go i'll come back 'cause told goodbye came back asked girl wanted said, ""baby, can't see?"" ""i wanna famous, star screen."" ""but something between!"" baby, drive car yes, i'm gonna star baby, drive car baby, love listen, want know secret? promise tell? oh, oh-a-oh, oh closer, let whisper ear say word long hear i'm love (oh-a-ooh-ooh) try see way keep talking 'til can't go on? see way run risk knowing love may soon gone work work know better girl like would love everything do, hey, hey, hey he's real nowhere man, sitting nowhere land gonna lose girl gonna lose girl gonna lose girl star 45 keep turning mind like ""we work out"" remember ""twist shout"" still ""tell why"" ""no reply""",1752
Angel of the Morning,Juice Newton,"there'll string bind hand love can't bind heart there's need take stand chose start see need take home i'm old enough face dawn call angel morning, angel touch cheek leave me, baby call angel morning, angel slowly turn away maybe sun's light dim matter anyhow morning's echo say we've sinned well, wanted we're victim night blinded light call angel morning, angel touch cheek leave me, baby call angel morning angel slowly turn away, beg stay tear day year baby! call angel morning, angel touch cheek leave me, baby call angel morning, angel touch cheek leave me, darling call angel morning, angel touch cheek leave me, darling",1061
Love on the Rocks,Neil Diamond,"love rock ain't surprise pour drink i'll tell lie got nothing lose sing blue time gave heart gave soul left alone nothing hold yesterday's gone want smile first, say want indeed, really need suddenly, find walking storm know really nothing say got leave, get away know song need need say want much feeling gone may blue sky cold love's rock first, say want indeed, really need suddenly. find walking storm know really nothing say got leave, get away know song love rock ain't big surprise pour drink i'll tell lie yesterday's gone want smile",1078
Every Woman in the World,Air Supply,"overnight scenes, dinner wine, saturday girl never love, never time hustle hurry world laughing sleep, waking lonely needed someone hold me, oh, oh, oh crazy old town, drag till run dream party night music light know happiness mean dancing dark strangers, love around suddenly found me, oh, oh, oh girl every woman world fantasy, reality girl every woman world everything need, everything oh girl everything good, everything fine that's put hand mine together we'll climb high highest star i'm living lifetime every minute we're together i'll stay right forever, oh, oh, oh girl every woman world fantasy, reality girl every woman world everything need, everything oh girl girl every woman world fantasy, reality girl every woman world everything need, everything girl every woman world fantasy, reality girl every woman world everything need, everything",1411
Guilty,Barbra Streisand,"shadow falling, baby, stand alone street anybody meet got heartache (it oughta illegal) make crime lonely sad (it oughta illegal) got reason livin' battle love livin' gotta mine take away got night day matter time got nothing guilty love climb mountain near far, never let end devotion got nothing sorry love one million eye see got highway sky wanna hear goodbye pulse racing, darling grand little little meet middle there's danger dark (it oughta illegal) make crime cold (it oughta illegal) got reason livin' battle love buildin' gotta mine take away gotta night day matter time got nothing guilty love climb mountain near far, never let end devotion got nothing sorry love one million eye see got highway sky wanna hear goodbye wanna hear goodbye wanna hear got nothing got nothing guilty love climb mountain near far, never let end devotion got nothing sorry love one million eye see got highway sky wanna hear goodbye got nothing guilty love climb mountain near far, never let end",1690
The Best of Times,Styx,"tonight's night we'll make history honey, i'll take risk tie back hand time stay tonight know feel worst time believe true people lock door hide inside rumor it, end paradise know, world passed u baby know, cry, best time i'm alone rain shine, we'll make world two memory yesterday last lifetime we'll take best, forget rest someday we'll find best time best time headline read, ""these worst times"" believe true feel helpless like boat tide wish summer wind could bring back paradise know, world turned upside baby, know always around, best time i'm alone rain shine, we'll make world two best time i'm alone rain shine, we'll make world two",1099
Elvira,The Oak Ridge Boys,"elvira, elvira heart's fire elvira eye look like heaven, lip like cherry wine girl sure enough make little light shine get funny feeling, spine 'cause know elvira's mine i'm singin' elvira, elvira heart's fire elvira giddy up, oom poppa, oom poppa, mow mow giddy up, oom poppa, oom poppa, mow mow heigh-ho silver, away tonight i'm gonna meet hungry house cafe i'm gonna give love can, yes gonna jump holler, 'cause i've saved last two dollar we're gonna search find preacher man i'm a-singin' elvira, elvira heart's fire elvira giddy up, oom poppa, oom poppa, mow mow giddy up, oom poppa, oom poppa, mow mow heigh-ho silver, away elvira, elvira heart's fire elvira giddy up, oom poppa, oom poppa, mow mow giddy up, oom poppa, oom poppa, mow mow heigh-ho silver, away elvira, yeah elvira heart's fire elvira giddy up, oom poppa, oom poppa, mow mow giddy up, oom poppa, oom poppa, mow mow heigh-ho silver, away elvira, yeah elvira heart's fire elvira",1130
Take It on the Run,REO Speedwagon,"heard friend heard friend heard another messin' around say got boyfriend late every weekend they're talkin' bringin' know neighborhood talk cheap story good tale grow taller line i'm telling you, babe think true, babe even keep mind take run baby that's way want baby want around believe minute gun take run thinking white lie puttin' bedroom eye say coming home say feel comin' leave tonight keep runnin' need never look back take run baby that's way want baby want around believe minute gun take run take run baby that's way want baby want around believe minute gun take run take run baby that's way want baby want around believe minute gun take run heard friend heard friend heard another messin' around",1436
(There's) No Gettin' Over Me,Ronnie Milsap,"well, walk tonight think ain't feeling right darling, ain't getting well, say need free ain't place sweet darling, ain't getting i'll bill forgot pay i'll dream keep awake i'll song radio i'll reason tell boy know... tell everyone we're might even believe darling, ain't getting sweet darling, ain't getting i'll face see crowd i'll time cry loud i'll smile there's one around i'll book can't put walk tonight think ain't feeling right darling, ain't getting see, sweet darling, ain't getting no, no, no, darling, ain't getting ooooh mmmm mmmm, darling, ain't getting ooooh darling, ain't getting me...",1108
Living Inside Myself,Gino Vannelli,"life i've felt self assured suddenly changed cloud hang world find wandering rain can't go 'cause lost living inside living inside shell living outside love lost somewhere inside dream afraid life really mean living without love need guiding light shine darkest day young, time side like fool let slip away day gone lost living inside living inside shell living outside love lost somewhere inside dream afraid life really mean living without love life i've felt self-assured oh season change i'm strong 'cause lost living inside living inside hell living outside love lost somewhere inside dream afraid life really mean living without love lost living inside living inside shell living outside love lost",1064
Woman in Love,Barbra Streisand,"life moment space dream gone, lonelier place kissed morning goodbye inside know never know road narrow long eye meet eye feeling strong turn away wall stumble fall give woman love i'd anything get world hold within right defend do? eternally mine love measure time planned start live other's heart may ocean away feel love, hear say truth ever lie stumble fall give woman love i'd anything get world hold within right defend do? oh, oh, oh, oh, oh woman love i'm talking know know feel woman right defend woman love i'd anything get world hold within right defend",1112
The Boy from New York City,The Manhattan Transfer,"ooo wah, ooo wah cool, cool kitty tell u boy new york city ooo wah, ooo wah c'mon kitty tell u boy new york city he's kind tall he's really fine day hope make mine, mine he's neat oh sweet way looked swept foot ooo whee, ought come see walk talk ooo wah, ooo wah cool, cool kitty tell u boy new york city he's really he's clown finest penthouse i've ever seen town he's cute mohair suit keep pocket full spending loot ooo whee, say ought come see dueling scar brand new car every time say love chill run spine every time want kiss make feel fine ooo wah, ooo wah cool, cool kitty tell u boy new york city well dance (he dance, take chance little ro-) make romance (mance baby, cause he's looker) that's fell love one glance (he's sweet talking cool) shy know i'll never, ever say goodbye ooo whee, say ought come see he's coast coast ooo wah, ooo wah cool, cool kitty tell u boy new york city ooo wah, ooo wah c'mon kitty tell u boy new york city",1360
Urgent,Foreigner,"shy, get around want fly, want foot ground stay up, come want live, want move sound got fire vein burning hot, feel pain desire insane can't stop sometimes wonder look eye maybe thinking guy know, yes know, treat right that's call middle night say urgent urgent, oh-oh urgent wait see urgent love urgent play trick mind everywhere hard find warm sentimental extreme, temperamental i'm looking love last know need need fast yeah, there's one thing common share that's need anytime, anywhere get urgent urgent know urgent want tell (ooh-ooh) urgent wait see urgent love urgent say urgent make fast, make urgent quick, urgent got rush, make urgent want quick make urgent, urgent, emergency urgent, urgent, emergency urgent (urgent), urgent (urgent), emergency urgent (urgent), urgent (urgent), emergency urgent, emergency ooh ooh (ooh ooh) ooh ooh (ooh ooh) ooh ooh (ooh ooh) urgent",1435
Passion,Rod Stewart,"somebody somewhere heat night looking pretty dangerous running patience tonight city find pity heart twisted another lover cheated, cheated bar cafes, passion street alleys, passion lot pretending, passion everybody searching, passion love never danger one hot night spent stranger wanted somebody hold yeah passion, passion passion, passion new york, moscow, passion hong kong, tokyo, passion paris bangkok, passion lotta people ain't got, passion hear radio, passion read papers, passion hear churches, passion see school yards, passion love never danger one hot night spent stranger wanted somebody hold yeah love never danger one hot night spent stranger wanted somebody hold yeah alone bed night, passion half past midnight, passion turn sidelight, passion something ain't right, passion there's passion, there's passion there's passion, need passion need passion, need passion can't live without passion live without passion can't live without passion even president need passion everybody know need passion people die kill passion nobody admits need passion people scared passion yeah, passion",1492
Lady (You Bring Me Up),Commodores,"lady bring i'm maybe gonna change life around came lonely one cared made see running scared saw face something told one smiled see life's begun lady bring i'm maybe gonna change life around lady brought rain (yeah) maybe life never filled desperation solitary man gave hope inspiration like true love believe saying i'm ten foot tall love need explaining we've got lady bring i'm (up i'm down) maybe (maybe) gonna change life around la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la whoa lady bring i'm (up i'm down) maybe (yeah) gonna change life around (yeah, yeah, yeah) ooh lady ooh lady bring i'm maybe gonna change life around ooh lady ooh lady bring i'm",1142
Crying,Don McLean,"right could smile saw last night held hand tight stopped say 'hello' though wished well tell i'd crying, crying, said long left standing alone alone cry cry cry cry hard understand touch hand start cry thought true, true love even but, darling, love i'll always crying, crying, yes, gone moment i'll cry (crying) cry (crying) cry (crying) cry i'm cry cry",734
Hearts,Marty Balin,everything right? called say lost feel without mile away really can't believe i'm still care you? heart break never mend together love fade away heart cry love stay forever heart way everything same? ever think loved one another? change mind? want back found new lover? heart break never mend together love fade away heart cry love stay forever heart way everything okay? thought i'd write song tell world miss you? 'cuz every day think word never said chance heart break never mend together love fade away heart cry love stay forever heart way heart way heart everything right?,952
It's My Turn,Diana Ross,"can't cover feeling name love play safe easy living i'm guilty go sentence i'll still free turn see see hope understand time's turn apology i've given truth i've tried please turn answer least know i'll take share chance ain't use holding nothing stay i'll let rain cause rain ain't gonna hurt i'll let go though know easy turn room lie year i'd seen life someone else's eye turn try find way get lost least i'll today turn yes, turn ain't use holding nothing stay i'll let rain cause rain ain't gonna hurt i'll let go though know easy turn see see hope understand time's turn turn say goodbye sure would like know still side turn turn turn start number one trying undo damage that's done turn reach touch sky one's gonna say least try turn yes, turn turn turn turn",1464
You Make My Dreams,Hall & Oates,"want, got might hard handle like flame burn candle, candle feed flame yeah, yeah, i've got, full stock thought dream scatter pull together, how, can't explain oh, yeah, well, well, (ooh-ooh, ooh-ooh-ooh) make dream come true (you, you, you, ooh-ooh-ooh, you) well, well, well, (ooh-ooh, ooh-ooh-ooh) oh, yeah, make dream come true (you, you, you, ooh-ooh-ooh, you) well, yeah night bad dream become screamer they're messing dreamer, laugh face twist shout way wrap around 'cause ain't way found i'll never oh, yeah, well, 'cause (ooh-ooh, ooh-ooh-ooh) mm-hmm make dream come true oh, yeah (you, you, you, ooh-ooh-ooh, you) well, well, well, (ooh-ooh, ooh-ooh-ooh) ooh-ooh make dream come true (you, you, you, ooh-ooh-ooh, you) oh, yeah well, listen ow! i'm daydream oh, sleepwalk now, know well, you! yeah-yeah make dream come true oh yeah (you, you, you, ooh-ooh-ooh, you) oh, yeah, i've waiting for, waiting you, girl (ooh-ooh, ooh-ooh-ooh) oh, yeah, make a-my dream come true (you, you, you, ooh-ooh-ooh, you) me, you, me, you, i've waiting for, waiting you, girl (ooh-ooh, ooh-ooh-ooh) oh my, make a-my dream come true (you) oh (you, you, you, ooh-ooh-ooh, you) whoa-ooh-whoa, i've waiting for, waiting for, waiting (ooh-ooh, ooh-ooh-ooh) waiting for, waiting for, waiting for, waiting make dream (you, you, you, ooh-ooh-ooh, you) ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh i've waiting you, girl (ooh-ooh, ooh-ooh-ooh) make dream (you, you, you, ooh-ooh-ooh, you)",1834
I Don't Need You,Kenny Rogers,"need need friendship need flower spring need surely need need love affection need peace harmony need surely need want bad enough yes, want it, we? need baby know need need loving arm around need free that's keep telling tell you, need need child old age cluttered leaf around tree need baby know need want bad enough yes, want it, we? need baby know need need other, baby need other, baby we?",799
How 'Bout Us,Champaign,"ooh, short sweet sense draggin' past need let's keep hangin' fire's out, gone people made people love one another life 'bout u people hold together last kind weather can't get wrong (watcha saying baby) 'cause i'm tryin' end (let's start something new) seen (what seen) many lover's heart lose dream (we lose it) people made people love one another life 'bout u people hold together last kind weather can't us, u baby (x3) going make girl gonna drift drift drift together ohhhh love people made people love one another life, 'bout u (how 'bout u baby) people hold together last (some people hold together) 'bout u people people made people love one another life, 'bout u (some people love one another life, 'bout u baby) people hold together last (some people hold together)",1267
Hit Me with Your Best Shot,Pat Benatar,"well real tough cookie long history breaking little heart like one that's okay, let's see put dukes, let's get hit best shot hit best shot hit best shot fire away come it, come on, fight fair that's okay, see care knock down, vain get right back foot hit best shot hit best shot hit best shot fire away well real tough cookie long history breaking little heart like one put another notch lipstick case better make sure put place hit best shot c'mon, hit best shot hit best shot fire away hit best shot hit best shot hit best shot fire away",929
The Breakup Song (They Don't Write 'Em),The Greg Kihn Band,"broken good hour ah ah ah, ah ah ah ah ah i'm staring body they're dancing 'cross floor ah ah ah, ah ah ah ah ah band slowed tempo music took ah ah ah, ah ah ah ah ah old song, melancholy sound ah ah ah, ah ah ah ah ah write 'em like anymore write 'em like anymore we'd living together million year ah ah ah, ah ah ah ah ah feel strange atmosphere ah ah ah, ah ah ah ah ah jukebox play song used know ah ah ah, ah ah ah ah ah i'm staring body they're dancing slow ah ah ah, ah ah ah ah ah write 'em like anymore write 'em like anymore oh hey wind staring empty glass ah ah ah, ah ah ah ah ah 'cause easy say forget past ah ah ah, ah ah ah ah ah write 'em like anymore, write 'em like anymore write 'em like anymore write 'em like anymore don't, no, no, no, uh-uh",1170
Time,The Alan Parsons Project,"time, flowin' like river time, beckoning know shall meet again? ever time keep flowin' like river sea goodbye, love maybe forever goodbye love tide wait know shall meet again? ever time keep flowin' like river (on on) sea, sea 'til gone forever gone forever gone forevermore goodbye, friend (goodbye, love; i'm asleep) maybe forever goodbye, friend (who know shall meet again?) star wait know shall meet again? ever time keep flowin' like river (on on) sea, sea 'til gone forever gone forever gone forevermore forevermore forevermore forevermore",736
Hungry Heart,Bruce Springsteen,"got wife kid baltimore, jack went ride never went back like river know flowing took wrong turn kept going everybody's got hungry heart everybody's got hungry heart lay money play part everybody's got hungry heart met kingstown bar fell love knew end took ripped apart kingstown everybody's got hungry heart everybody's got hungry heart lay money play part everybody's got hungry heart everybody need place rest everybody want home make difference nobody say ain't nobody like alone everybody's got hungry heart everybody's got hungry heart lay money play part everybody's got hungry heart",867
Sweetheart,Franke and the Knockouts,"know baby hard strong take good bad think alone 'cause know sad goodbye 'cause i've help dry eye sweetheart love start treat like star oh sweetheart love baby love wrong right 'cause spark life yeah day night trouble a-keeps knockin' door call babe 'round sweetheart oh know, yes know matter long i'll side singing song",561
Somebody's Knockin',Terri Gibbs,"somebody's knockin' let lord, devil would look i've heard never dreamed he'd blue eye blue jean well somebody's talkin' he's whispering place place well, i'm gettin' weaker he's comin' strong wanna go wrong must tapped telephone line must known i'm spendin' time alone say we'll one heavenly night fever's burnin' ought right home somebody's knockin' let lord, devil would look i've heard never dreamed he'd blue eye blue jean must tapped telephone line must known i'm spendin' time alone say we'll one heavenly night fever's burnin' ought right home somebody's knockin' (somebody's knockin') oh, somebody's knockin'",887
More Than I Can Say,Leo Sayer,"oh-woah-yay-yay love say i'll love twice much tomorrow, woah love say oh-woah-yay-yay i'll miss every single day must life filled sorrow, oh love say oh, know need oh, tell please, got know mean make cry? another guy? oh-woah-yay-yay miss say must life filled sorrow, oh woah love say oh, know need tell please, got know mean make cry? another guy? oh-woah-yay-yay love say i'll love twice much tomorrow, woah love say love say love say, oh (mmm, say) i'll love twice much tomorrow (mmm, say) i'll love twice much tomorrow (mmm, say) love say (mmm, say) love word say (mmm, say) love say",1087
