,songs,artists,lyrics,length
18,My Heart Is an Open Book,Carl Dobkins Jr.,"believe lie darlin', believe eye look look, heart open book love nobody (ah, ah, ah, ah) look, look, heart open book love honest true (doo-di-di, doo-di-di, doo-di-di, doot!) jealous (doo-di-di, doot) want u part (doo-di-di, doo-di-di, doo-di-di, doot) that's he's tellin' (doo-di-di, doot) i've got cheatin' heart believe lie darlin', believe eye look, look, heart open book love nobody (doo-di-di, doo-di-di, doo-di-di, doot) jealous (doo-di-di, doot) want u part (doo-di-di, doo-di-di, doo-di-di, doot) that's he's tellin' (doo-di-di, doot) i've got cheatin' heart believe lie darlin', believe eye look, look, heart open book love nobody nobody nobody",912
19,(Till) I Kissed You,The Everly Brothers,"never felt like kissed ya exist kissed ya never mind time never knew missed 'til kissed ya uh-huh kissed ya, oh yeah thing really changed since kissed ya, uh-huh life's kissed ya, oh yeah mmm, got way ya can't live without ya never knew missed 'til kissed ya uh-huh, kissed ya, oh yeah realize realize kiss could mmm, got way ya can't live without ya never knew missed 'til kissed ya uh-huh, kissed ya, oh yeah realize realize kiss could mmm, got way ya can't live without ya never knew missed 'til kissed ya uh-huh, kissed ya, oh yeah kissed ya, uh-huh kissed ya, oh yeah kissed ya...",902
20,Sea of Love,Phil Phillips,come love! sea sea love! want tell much love remember met? that's day knew pet! want tell much love come me! sea love! remember met? that's day knew pet! want tell much love come me! sea love! remember met? that's day knew pet! want tell much love,482
22,I'm Gonna Get Married,Lloyd Price,"(johnny, johnny, johnny) (johnny, young) i'm gonna get married (you're young) name she'll carry (you're young johnny, smart) smart enough hide aching heart come heart desert burning full love desire come every time kiss set soul fire come every time leave seems like i've lost part may young marry hide aching heart (johnny, young) i'm gonna get married (you're young) name she'll carry (you're young johnny, smart) smart enough hide aching heart come every time kiss thrill head toe come every time see lift right floor come every time i'm whisper soft low make want jump holler bump head door (johnny, young) i'm gonna get married (you're young) name she'll carry (you're young, johnny, smart) smart enough hide aching heart (too young) i'm gonna get married (you're young) name she'll carry (you're young) i'm gonna get married (you're young) name she'll carry (you're young)",1238
23,Sorry (I Ran All the Way Home),The Impalas,"sorry, sorry, oh sorry spoken: uh-oh! **i ran home say i'm sorry (sorry) say? ran way, yay, yay, yay ** repeat **",153
24,A Teenager in Love,Dion and the Belmonts,"time quarrel almost break heart 'cause i'm afraid part night ask star must teenager love? one day, feel happy next day, feel sad guess i'll learn take good bad 'cause night ask star must teenager love? cried tear nobody i'll lonely one say we're well, want make cry hard say goodbye i'll still go loving night ask star must teenager love? cried tear nobody i'll lonely one say we're well, want make cry hard say goodbye i'll still go loving night ask star must teenager love? (in love) must teenager love? (in love) must teenager love? (in love) must teenager love?",1039
25,16 Candles,The Crests,"happy birthday, happy birthday, baby oh, love 16 candle make lovely light bright eye tonight blow candle make wish come true i'll wishing love me, (that love me, too) sixteen (sixteen) teenage queen (oh, queen) prettiest, loveliest girl i've ever seen (i've ever seen) 16 candle heart glow ever ever love (for love so) sixteen (sixteen) teenage queen (oh, queen) prettiest, loveliest girl i've ever seen (i've ever seen) 16 candle heart glow ever ever love love",706
26,It's Just a Matter of Time,Brook Benton,"someday, someway realize blind yes, darling, going need matter time go on, go reach end line know pas way matter time gave everything laughed called clown remember, search fortune fame go must come know, know one day, wake find love true love matter time",488
27,Lipstick on Your Collar,Connie Francis,"left alone record hop told going soda pop gone quite while, half hour came back man, oh man, saw lipstick collar told tale lipstick collar said untrue bet bottom dollar, 'cause lipstick collar told tale you, yeah said belonged me, made stop think noticed red, mine baby pink walked mary jane, lipstick mess smoochin' best friend? guess answer's yes lipstick collar told tale lipstick collar said untrue bet bottom dollar, cause lipstick collar told tale you, boy told tale you, man told tale you, yeah told tale",851
28,There Goes My Baby,The Drifters,"(bo-bo) (doo-doot-doo-doo-doo-doo) (there goes) (doo-doot-doo-doo-doo-doo) (there goes) (doo-doot-doo-doo-doo-doo) (bo-bo) (doo-doot-doo-doo) (bo-bo) (doo-doo-doo-doo) go baby movin' line wonder where, wonder wonder bound? broke heart made cry i'm alone, alone do? do? (there go baby) whoa (there go baby) yeah, yeah, yeah, yeah (there go baby) whoa (there goes) yeah (there goes) wanna know loved really love me? playing fool? wonder left leave alone alone? gonna tell loved need beside side guide wanna know (doo-doot-doo-doo-doo-doo) baby? (doo-doot-doo-doo-doo-doo) want baby (doo-doot-doo-doo-doo-doo) need baby yeah, whoa (there go baby) whoa (there go baby) whoa (there go baby) whoa (there go baby) whoa",1019
29,A Big Hunk o' Love,Elvis Presley,"hey baby, ain't asking much baby, ain't asking much big-a big-a big-a hunk love stingy little mama 'bout starve half death spare kiss two still plenty left, baby, ain't asking much big-a big-a big-a hunk love natural born beehive filled honey top ain't greedy, baby want got, ain't asking much big-a big-a big-a hunk love got wishbone pocket got rabbit foot around wrist know i'd thing lucky charm could bring give one sweet kiss oh baby, ain't asking much big hunk o' hunk o' hunk o' love do, that's right big big big hunk o' love do, that's right big big big hunk o' love do, that's right big big big hunk o' love",1007
31,Waterloo,Stonewall Jackson,waterloo waterloo meet waterloo? every puppy day everybody pay everybody meet waterloo old adam first history apple tempted deceived spite devil made take bite that's old adam met waterloo waterloo waterloo meet waterloo? every puppy day everybody pay everybody meet waterloo little general napoleon france tried conquer world lost pant met defeat known bonaparte's retreat that's napoleon met waterloo waterloo waterloo meet waterloo? every puppy day everybody pay everybody meet waterloo feller whose darling proved untrue took life lost swing little birdie sings that's tom dooley met waterloo waterloo waterloo meet waterloo? every puppy day everybody pay everybody meet waterloo,1026
32,Lavender Blue,Sammy Turner,"lavender blue dilly-dilly lavender green king dilly-dilly i'd need queen whoa-oh, told dilly-dilly told told dilly-dilly told dilly-dilly heart feel dilly-dilly way answer yes pretty little church dilly-dilly day wed dilly-dilly dress lavender blue dilly-dilly lavender green i'll king dilly-dilly queen i'll king dilly-dilly queen (lavender blue, dilly-dilly)",500
33,(Now and Then There's) A Fool Such as I,Elvis Presley,"(now there's fool i) pardon me, i'm sentimental say goodbye angry cry gone, yet i'll dream little little dream year go there's fool (fool i) there's fool taught love say i'm fool, i'll love you, dear day die there's fool (fool i) (now there's fool i) there's fool taught love say i'm fool, i'll love you, dear day die there's fool there's fool there's fool",801
34,Guitar Boogie Shuffle,The Virtues,"change suit everybody else change suit everybody else lay staring ceiling night haunt come ghost life bury head bone colored cradle sleep smile upon face? say every life little rain must fall dream cloud burst dripped face sick body form sick mind duty bound what's right oasis light darkness life? can't admit, can't deny small heart, spiteful mind good bad ask thing hurt one care good bad ask thing hurt one care change suit everybody else change suit everybody else...",889
36,"Kookie, Kookie (Lend Me Your Comb)",Edd Byrnes,"connie: kookie, kookie, lend comb. kookie, kookie? edd: well now, let's take top grab wheel way we'll talk cuckoo deal connie: kookie, kookie, lend comb. kookie, kookie? edd: wavelength, i'm reading fine cut til get cloud nine! connie: kookie, kookie? edd: got smog noggin, ever since made scene (you're utmost!) ever tune dad, i'm saddest, like i'm green (the utmost!) connie: kookie, lend comb. kookie, kookie? edd: man, got burner lighted, flap gonna bend gonna send planet called—you know it, baby—the end! connie: kookie, kookie, lend comb. kookie, kookie? edward: ever cut out, i'd stray cat 'cause i'm flyin' solo, nowhere's i'm at! connie: kookie, kookie, lend comb. kookie, kookie? edward: what's comb caper, baby?! wanna latch onto comb?! connie: want stop combing hair... kiss me. maximum utmost! edd: well, i'm beamed i'm dreamsville i'm movin' right now, cause that's kind scene dig! baby...you're ginchiest",1258
37,Tragedy,Thomas Wayne,"wind storm (ooh-ooh) gone's sun (the sun, ooh) star dark come gone oh, oh, tragedy (ah, ah, ah, ah, ah) oh, come back hold me, love sincere gone oh, oh, tragedy (ee-ee, ee-ee, ee-ee, ee-ee) (ah, ah, ah) like smoke fire love oh, oh, oh, ooh dream gone oh, oh, oh, ooh blown wind kissed snow that's left dark be-ee-ee-low gone oh, oh, tragedy (oh, oh, oh) tragedy",494
38,My Happiness,Connie Francis,evening shadow make blue weary day long happiness every day reminisce dreaming tender kiss always thinking miss happiness million year seems gone since shared dream i'll hold there'll blue memory whether sky gray blue place earth long i'm happiness whether sky gray blue place earth long i'm happiness,512
39,Tallahassee Lassie,Freddy Cannon,"well, come tallahassee got hi-fi chassis maybe look little sassy me, real classy yeah, tallahassee lassie f-l-a well, romping drag, cha-cha, rag-a-mop stomping shag, rock bunny hop ooh, ooh, ooh, ooh well, dance bop, dance stroll dance walk, rock roll tallahassee lassie yeah, tallahassee lassie tallahassee lassie f-l-a well, romping drag, cha-cha, rag-a-mop stomping shag, rock bunny hop ooh, ooh, ooh, ooh well, dance bop, dance stroll dance walk, rock roll tallahassee lassie yeah, tallahassee lassie tallahassee lassie f-l-a come on, baby come on, honey yeah, come on, sugar come on, baby",854
40,Tiger,Fabian,"hey, lumpa sugar, look kinda sweet cuter baby walkin' street look eyes, wanna leap can't conceal make feel like tiger, ooh-ooh-ooh like tiger, ooh-ooh-ooh see smile nearly drive wild wanna growl, wow! i'm feelin' stronger grizzly bear soarin' like eagle flyin' air get arms, better beware go insane 'cause can't tamed like tiger, ooh-ooh-ooh like tiger, ooh-ooh-ooh see smile nearly drive wild wanna growl, wow! keep heart jumpin' like kangaroo floatin' like onion bowl stew baby, every time come view run like antelope get i'm tiger, mate hurry up, buttercup, late might get mad wait come right 'cause i'm prowl like tiger, ooh-ooh-ooh like tiger, ooh-ooh-ooh see smile nearly drive wild wanna growl, wow! keep heart jumpin' like kangaroo floatin' like onion bowl stew baby, every time come view run like antelope get i'm tiger, mate hurry up, buttercup, late might get mad wait come right 'cause i'm prowl like tiger, ooh-ooh-ooh like tiger, ooh-ooh-ooh see smile nearly drive wild wanna growl, wow!",1404
41,Never Be Anyone Else But You,Ricky Nelson,"there'll never anyone else never ever anyone else could take pick girl i've ever known i'd come pick there'll never anyone else never ever anyone else heart that's true longs give love belongs long may live there'll never anyone else never ever anyone else never forget way kiss we're together wonder missed 'cause hope pray day come belong i'm gonna prove true love there'll never anyone else never ever anyone else mm, mm, mm, mm mm, mm, mm mm, mm, mm",847
42,Don't You Know?,Della Reese,"know fallen love rest whole life know day happened come way can't see i'm spell look eye can't tell, can't tell now, know every beat heart keep cry want know",339
43,I Need Your Love Tonight,Elvis Presley,"oh oh, love uh uh, can't let go ooh ooh, tell need love tonight oh gee, way kiss sweetie, good miss wow-whee, want need love tonight i've waiting tonight lovin' hold tight tell baby gotta go got hi-fi high light low hey now, hear say oh wow, better stay pow pow, run away need love tonight, yeah need love tonight need love tonight oh oh, love uh uh, can't let go ooh ooh, tell need love tonight oh gee, way kiss sweetie, good miss wow-whee, want need love tonight i've waiting tonight lovin' hold tight tell baby gotta go got hi-fi high light low hey now, hear say oh wow, better stay pow pow, run away need love tonight need love tonight need love tonight need love tonight need love tonight",1056
44,What a Diff'rence a Day Makes,Dinah Washington,"difference day made twenty-four little hour brought sun flower used rain yesterday blue, dear today i'm part you, dear lonely night through, dear since said mine lord, difference day made there's rainbow sky can't stormy since moment bliss thrilling kiss heaven find romance menu difference day made difference",475
45,The All American Boy,Bill Parsons,"gather 'round, cats, i'll tell story become american boy buy guitar put tune rockin' rollin' soon impressin' girl pickin' hot lick jazz i-i bought guitar year ago learned play day around town well understood knockin' 'em like johnny b. goode hot lick showin' ah, number one well, 'd practice day night papa's hair turnin' white 'cause like rock'n'roll said, ""you stay, boy, that's gotta go."" he's square dig took guitar, pick bid farewell poor ole pa split memphis say y'all swingin' cat havin' ball session hot lick dig rockin' boppin' i's gettin' break girl said take stepped man big cigar said, ""come here, cat, i'm gonna make star."" ""i'll put bandstand buy ya cadillac sign here, kid."" signed name became star havin' ball guitar driving big long cadillac fightin' girl back kept a'comin' screamin' yeah, like i'd pick gittar great big grin money kept pourin' one day uncle sam said, ""here am"" ""uncle sam need you, boy i'm-a gonna cut hair ah, take rifle, kid gimme guitar"" yeah",1476
46,Primrose Lane,Jerry Wallace,"primrose lane, life's holiday primrose lane holiday primrose lane can't explain we're walkin' primrose lane even rose bloomin' rain sweet perfume little old rose bloom want walk whole life primrose lane, life's holiday primrose lane holiday primrose lane sweet perfume little old rose bloom want walk whole life primrose lane, life's holiday primrose lane holiday primrose lane wi-i-i-th wi-i-i-th fade wi-i-i-th",599
47,Alvin's Harmonica,The Chipmunks,"alvin, put harmonica why? we're gonna sing, that's why! again! nevermind look fellas, pretty song let's try goof ready, simon? sure, let's go! set, theodore? hot dog, bet! ready, alvin? ready, alvin? alvin! aw, nuts! sure like girl kind girl annie veronica! like 'em small fat tall... wanna play harmonica! cut out! want get kiss take fruit popcorn always fall love... play harmoni-corn! alvin! put thing sing? ok! sure like girl kind girl annie veronica like 'em small fat tall... i'm gonna play harmonica! right, alvin make fool play harmonica cha-cha-cha! wait minute, guys! alvin, goofing up! pretty song supposed a... cha-cha-cha! look did! got cha-chaing singing wrecking song! theodore... simon... orchestra, cut out?! alvin, put harmonica down! alvin! aaaaaalvin!",1159
48,Lonely Street,Andy Williams,"where's place called ""lonely stree-ee-ee-eet?"" i'm looking lonely street i've got sad, sad tale tell need place go weep where's place called ""lonely stree-ee-ee-eet?"" place there's loneliness dim light bring forgetfulness broken dream mem'ries meet where's place called ""lonely stree-ee-ee-eet?"" perhaps upon lonely street there's someone came bury broken dream watch old love di-ie could find lonely street dim light bring forgetfulness broken dream mem'ries meet where's place called ""lonely stree-ee-ee-eet?"" where's place called ""lonely stree-ee-ee-eet?""",697
49,What'd I Say,Ray Charles,"hey mama, treat wrong come love daddy night long alright now, hey hey, alright see girl diamond ring know shake thing alright now, hey hey, hey hey tell mama, tell pa i'm gonna send back arkansas oh yes, ma'am, right, right see misery come on, baby, see yeah, alright, alright, ah, play it, boy see misery come on, baby, see yeah, hey hey, alright see girl red dress birdland night long yeah yeah, what'd say, alright well, tell what'd say, yeah tell what'd say right tell what'd say tell what'd say right tell what'd say tell what'd say, yeah wanna know baby, wanna know right and-a wanna know wanna know right now, yeah and-a wanna know said wanna know, yeah what? what's that? what's that? what's that? alright hey (hey) ho (ho) hey (hey) ho (ho) hey (hey) ho (ho) oh, one time (just one time) say one time right (just one time) say one time (just one time) say one time, yeah (just one time) say one time (just one time) say one time, yeah (just one time) hey (hey) ho (ho) hey (hey) ho (ho) hey (hey) ho (ho) ah! make feel good (make feel good) make feel good now, yeah (make feel good) whoa, baby (make feel good) make feel good, yeah (make feel good) make feel good (make feel good) make feel good, yeah (make feel good) huh (huh) ho (ho) huh (huh) ho (ho) huh (huh) ho (ho) huh ah, alright (baby, alright) said alright right (baby, alright) said alright (baby, alright) said alright, yeah (baby, alright) said alright (baby, alright) said alright (baby, alright) whoa, shake thing (baby, shake thing) baby, shake thing (baby, shake thing) baby, shake thing (baby, shake thing) baby, shake thing right (baby, shake thing) baby, shake thing (baby, shake thing) baby, shake thing (baby, shake thing) whoa, feel alright now, yeah (make feel alright) said feel alright (make feel alright) whoa (make feel alright) tell feel alright, yeah (make feel alright) said feel alright (make feel alright) baby, feel alright (make feel alright)",2553
50,Broken Hearted Melody,Sarah Vaughan,"br-oooo-ken hearted me-eee-lo-dy ooooonce song love nooooow keep taunting wiiiiith memory (ba-da-da) tender love. ooooh broken hearted melody must keep reminding lip long kiss love miss since went away night day play broken hearted melody used sing love young bright held tight suddenly found, heaven bound brooooken hearted melody ooooonce song love nooooow keep taunting wiiiiiith memory (ba-da-da) tender love, ooooh broken hearted melody bring back sing yearns return broken hearted melody oooooooo, oo-oo oo-oo, oo-oo, ooooooooo oooooooo, oo-oo oo-oo, oo-oo, ooooooooo",819
51,Only You (And You Alone),Franck Pourcel,"chère mademoiselle, deepest pride greatest pleasure welcome tonight. invite relax, let u pull chair dining room proudly presents: dinner! (sung) guest! guest! put service test tie napkin 'round neck, cherie we'll provide rest soup du jour hot hors d'oeuvres why, live serve try grey stuff, delicious believe me? ask dish sing, dance all, miss, france dinner never second best go on, unfold menu take glance guest oui, guest guest! beef ragout cheese soufflé pie pudding, en flambé we'll prepare serve flair culinary cabaret! alone scared banquet's prepared one's gloomy complaining flatware's entertaining tell jokes! trick fellow candlestick perfect taste bet come lift glass free pas guest stressed fine dining suggest guest! guest! guest! life unnerving servant who's serving he's whole without soul wait upon ah, good old day useful... suddenly good old day gone ten year we've rusting needing much dusting needing exercise, chance use skills! day lay around castle flabby, fat lazy walked oops-a-daisy! guest! guest! sake's alive, well i'll blessed! wine's poured thank lord i've napkin freshly pressed dessert, she'll want tea dear that's fine cup soft-shoein' i'll bubbling, i'll brewing i'll get warm, piping hot heaven's sakes! spot? clean up! want company impressed we've got lot do! one lump two? you, guest! guest! guest! guest! guest! guest! command request year since we've anybody we're obsessed meal, ease yes, indeed, aim please candlelight's still glowing let u help you, we'll keep going course course, one one 'til shout, ""enough! i'm done!"" we'll sing sleep digest tonight prop foot now, let's eat guest! guest! guest! please, guest!",2529
